Code_Opale_Publi;IDBANK
TC_EMPS_DSN1;1689423
TC_EMPS_DSN7;1689424
TC_EMPS_S11;1689425
TC_EMPS_S17;1689426
TC_EMPS_S111;1689427
TC_EMPS_S117;1689428
TC_EMPS_S121;1689429
TC_EMPS_S127;1689430
TC_EMPS_S131;1689431
TC_EMPS_S137;1689432
TC_EMPS_S14A1;1689433
TC_EMPS_S14A7;1689434
TC_EMPS_S14B1;1689435
TC_EMPS_S14B7;1689436
TC_EMPS_S151;1689437
TC_EMPS_S157;1689438
TC_EMPS_SMNA1;1689439
TC_EMPS_SMNA7;1689440
TC_EMPT_AZ1;1689441
TC_EMPT_AZ7;1689442
TC_EMPT_C11;1689443
TC_EMPT_C17;1689444
TC_EMPT_C21;1689445
TC_EMPT_C27;1689446
TC_EMPT_C31;1689447
TD_MEMP_DI7_CH;1689448
TD_MEMP_DIM3;1689449
TD_MEMP_DIM7_CH;1689450
TD_MEMP_DS3;1689451
TD_MEMP_DS7_CH;1689452
TD_MEMP_DSM3;1689453
TD_MEMP_DSM7_CH;1689454
TD_P1_AZ3;1689455
TD_P1_AZ7_CH;1689456
TD_P1_C13;1689457
TD_P1_C17_CH;1689458
TD_P1_C23;1689459
TD_P1_C27_CH;1689460
TD_P1_C33;1689461
TD_P1_C37_CH;1689462
TD_P1_C43;1689463
TD_P1_C47_CH;1689464
TD_P1_C53;1689465
TD_P1_C57_CH;1689466
TD_P1_DE3;1689467
TD_P1_DE7_CH;1689468
TD_P1_FZ3;1689469
TD_P1_FZ7_CH;1689470
TD_P1_GZ3;1689471
TD_P1_GZ7_CH;1689472
TD_P1_HZ3;1689473
TD_P1_HZ7_CH;1689474
TD_P51P_DB3;1689475
TD_P51P_DB7_CH;1689476
TD_P51P_DI3;1689477
TD_P51P_DI7_CH;1689478
TD_P51P_DIM3;1689479
TD_P51P_DIM7_CH;1689480
TD_P51P_DS3;1689481
TD_P51P_DS7_CH;1689482
TD_P51P_DSM3;1689483
TD_P51P_DSM7_CH;1689484
TD_P51S_AZ3;1689485
TD_P51S_AZ7_CH;1689486
TD_P51S_C33;1689487
TD_P51S_C37_CH;1689488
TD_P51S_C43;1689489
TD_P51S_C47_CH;1689490
TD_P51S_C53;1689491
TD_P51S_C57_CH;1689492
TD_P51S_FZ3;1689493
TD_P51S_FZ7_CH;1689494
TD_P51S_JZ3;1689495
TD_P51S_JZ7_CH;1689496
TD_P51S_LZ3;1689497
TD_P51S_LZ7_CH;1689498
TD_P51S_MN3;1689499
TC_D122_C43;1689500
TC_D122_C53;1689501
TC_D122_DE3;1689502
TC_D122_FZ3;1689503
TC_D122_GZ3;1689504
TC_D122_HZ3;1689505
TC_D122_IZ3;1689506
TC_D122_JZ3;1689507
TC_D122_KZ3;1689508
TC_D122_LZ3;1689509
TC_D122_MN3;1689510
TC_D122_OQ3;1689511
TC_D122_RU3;1689512
TC_D122_D3;1689513
TC_D122_DI3;1689514
TC_D122_DIM3;1689515
TC_D122_DS3;1689516
TC_D122_DSM3;1689517
TC_D122_DSN3;1689518
TC_D122_S11E3;1689519
TC_D122_S12E3;1689520
TC_D122_S13E3;1689521
TC_D122_S14R3;1689522
TC_D122_S1AE3;1689523
TC_D122_S2AE3;1689524
TC_D122_SMNA3;1689525
TC_D29_AZ3;1689526
TC_EMPT_C37;1689527
TC_EMPT_C41;1689528
TC_EMPT_C47;1689529
TC_EMPT_C51;1689530
TC_EMPT_C57;1689531
TC_EMPT_DE1;1689532
TC_EMPT_DE7;1689533
TC_EMPT_FZ1;1689534
TC_EMPT_FZ7;1689535
TC_EMPT_GZ1;1689536
TC_EMPT_GZ7;1689537
TC_EMPT_HZ1;1689538
TC_EMPT_HZ7;1689539
TC_EMPT_IZ1;1689540
TC_EMPT_IZ7;1689541
TC_EMPT_JZ1;1689542
TC_EMPT_JZ7;1689543
TC_EMPT_KZ1;1689544
TC_EMPT_KZ7;1689545
TC_EMPT_LZ1;1689546
TC_EMPT_LZ7;1689547
TC_EMPT_MN1;1689548
TC_EMPT_MN7;1689549
TC_EMPT_OQ1;1689550
TC_EMPT_OQ7;1689551
TC_EMPT_RU1;1689552
TC_EMPT_RU7;1689553
TD_P1_IZ3;1689554
TD_P1_IZ7_CH;1689555
TD_P1_JZ3;1689556
TD_P1_JZ7_CH;1689557
TD_P1_KZ3;1689558
TD_P1_KZ7_CH;1689559
TD_P1_LZ3;1689560
TD_P1_LZ7_CH;1689561
TD_P1_MN3;1689562
TD_P1_MN7_CH;1689563
TD_P1_OQ3;1689564
TD_P1_OQ7_CH;1689565
TD_P1_RU3;1689566
TD_P1_RU7_CH;1689567
TD_P1_D3;1689568
TD_P1_D7_CH;1689569
TD_P1_DB3;1689570
TD_P1_DB7_CH;1689571
TD_P1_DI3;1689572
TD_P1_DI7_CH;1689573
TD_P1_DIM3;1689574
TD_P1_DIM7_CH;1689575
TD_P1_DS3;1689576
TD_P1_DS7_CH;1689577
TD_P1_DSM3;1689578
TD_P1_DSM7_CH;1689579
TD_P1_DSN3;1689580
TD_P51S_MN7_CH;1689581
TD_P51S_RU3;1689582
